method,mean_ssim,mean_psnr,mean_rmse,mean_inference_ms,throughput_slices_per_sec,n_parameters,model_size_mb,ssim_vs_fbp_wilcoxon_p,ssim_vs_fbp_perm_p,ssim_vs_fbp_effect_r,ssim_vs_fbp_ci95_low,ssim_vs_fbp_ci95_high
FBP,0.8519700219194339,20.37250592120908,0.0985504303202033,0.0015278500140993856,654514.5078193197,0,0.0,,,,,
RED-CNN,0.9328272662800237,24.017916872200562,0.06477181033603847,6.113128411987418,163.58236447954698,297217,1.1337928771972656,2.96179525578799e-155,0.0004997501249375312,0.9690309690309691,0.07503520856118712,0.08696639329724118
U-Net,0.9385277398633809,24.42896510149906,0.06168157370574772,6.100309443003425,163.92611052656048,2355729,8.986392974853516,3.325859118934513e-165,0.0004997501249375312,1.0,0.08086707527427071,0.09237668432781104
AttentionUNet,0.938215499234986,24.515463674239058,0.06133920369111002,7.649194905015975,130.73271271258207,2024321,7.722171783447266,3.325859118934513e-165,0.0004997501249375312,1.0,0.08053793144342158,0.09206551807896601
FreqHybrid,0.2197551387724721,12.32690475526423,0.2440746710449457,30.090170591007336,33.23344402370577,1005746,3.8366165161132812,3.396498786631857e-165,0.0004997501249375312,-0.999972027972028,-0.6405300128581368,-0.6241010583505893
