method,mean_ssim,mean_psnr,mean_rmse,mean_inference_ms,throughput_slices_per_sec,n_parameters,model_size_mb,ssim_vs_fbp_wilcoxon_p,ssim_vs_fbp_perm_p,ssim_vs_fbp_effect_r,ssim_vs_fbp_ci95_low,ssim_vs_fbp_ci95_high
FBP,0.8631452038605099,23.991773935304536,0.06684707552194595,0.0022319999516184907,448028.68354673113,0,0.0,,,,,
RED-CNN,0.8511402021958986,23.325912108904085,0.07196341827511787,23.91720690011425,41.81090225862548,297217,1.1337928771972656,0.048828125,0.04297851074462768,-0.7090909090909091,-0.021019807559630236,-0.003585554076431079
